Date,Occupied
2016-06-19,68
2016-06-20,70
2016-06-21,70
2016-06-22,70
2016-06-23,70
2016-06-24,70
2016-06-25,70
2016-06-26,69
2016-06-27,68
2016-06-28,68
2016-06-29,69
2016-06-30,70
2016-07-01,68
2016-07-02,70
2016-07-03,64
2016-07-04,69
2016-07-05,69
2016-07-06,67
2016-07-07,69
2016-07-08,70
2016-07-09,70
2016-07-10,67
2016-07-11,67
2016-07-12,69
2016-07-13,69
2016-07-14,66
2016-07-15,70
2016-07-16,70
2016-07-17,67
2016-07-18,70
2016-07-19,69
2016-07-20,69
2016-07-21,70
2016-07-22,70
2016-07-23,70
2016-07-24,69
2016-07-25,68
2016-07-26,68
2016-07-27,67
2016-07-28,68
2016-07-29,68
2016-07-30,69
2016-07-31,62
2016-08-01,68
2016-08-02,70
2016-08-03,70
2016-08-04,70
2016-08-05,70
2016-08-06,69
2016-08-07,67
2016-08-08,69
2016-08-09,69
2016-08-10,69
2016-08-11,68
2016-08-12,69
2016-08-13,69
2016-08-14,69
2016-08-15,70
2016-08-16,69
2016-08-17,69
2016-08-18,69
2016-08-19,68
2016-08-20,69
2016-08-21,68
2016-08-22,68
2016-08-23,70
2016-08-24,69
2016-08-25,70
2016-08-26,70
2016-08-27,70
2016-08-28,65
2016-08-29,70
2016-08-30,70
2016-08-31,68
2016-09-01,70
2016-09-02,68
2016-09-03,69
2016-09-04,68
2016-09-05,67
2016-09-06,67
2016-09-07,67
2016-09-08,68
2016-09-09,70
2016-09-10,69
2016-09-11,70
2016-09-12,69
2016-09-13,70
2016-09-14,65
2016-09-15,70
2016-09-16,70
2016-09-17,70
2016-09-18,70
2016-09-19,64
2016-09-20,68
2016-09-21,68
2016-09-22,68
2016-09-23,68
2016-09-24,70
2016-09-25,55
2016-09-26,69
2016-09-27,66
2016-09-28,69
2016-09-29,69
2016-09-30,69
2016-10-01,67
2016-10-02,69
2016-10-03,67
2016-10-04,69
2016-10-05,66
2016-10-06,66
2016-10-07,67
2016-10-08,68
2016-10-09,68
2016-10-10,61
2016-10-11,63
2016-10-12,69
2016-10-13,70
2016-10-14,70
2016-10-15,70
2016-10-16,69
2016-10-17,50
2016-10-18,65
2016-10-19,60
2016-10-20,65
2016-10-21,64
2016-10-22,65
2016-10-23,69
2016-10-24,50
2016-10-25,62
2016-10-26,70
2016-10-27,61
2016-10-28,60
2016-10-29,70
2016-10-30,63
2016-10-31,67
2016-11-01,65
2016-11-02,67
2016-11-03,70
2016-11-04,69
2016-11-05,70
2016-11-06,57
2016-11-07,61
2016-11-08,63
2016-11-09,64
2016-11-10,63
2016-11-11,64
2016-11-12,54
2016-11-13,55
2016-11-14,62
2016-11-15,70
2016-11-16,60
2016-11-17,65
2016-11-18,69
2016-11-19,69
2016-11-20,60
2016-11-21,35
2016-11-22,38
2016-11-23,35
2016-11-24,37
2016-11-25,35
2016-11-26,27
2016-11-27,23
2016-11-28,20
2016-11-29,25
2016-11-30,20
2016-12-01,28
2016-12-02,31
2016-12-03,53
2016-12-04,22
2016-12-05,49
2016-12-06,47
2016-12-07,54
2016-12-08,47
2016-12-09,45
2016-12-10,47
2016-12-11,11
2016-12-12,21
2016-12-13,19
2016-12-14,22
2016-12-15,22
2016-12-16,21
2016-12-17,37
2016-12-18,23
2016-12-19,33
2016-12-20,33
2016-12-21,30
2016-12-22,41
2016-12-23,47
2016-12-24,62
2016-12-25,66
2016-12-26,61
2016-12-27,63
2016-12-28,56
2016-12-29,41
2016-12-30,69
2016-12-31,65
2017-01-01,43
2017-01-02,41
2017-01-03,37
2017-01-04,36
2017-01-05,40
2017-01-06,46
2017-01-07,43
2017-01-08,29
2017-01-09,32
2017-01-10,38
2017-01-11,35
2017-01-12,35
2017-01-13,22
2017-01-14,37
2017-01-15,14
2017-01-16,56
2017-01-17,57
2017-01-18,61
2017-01-19,25
2017-01-20,28
2017-01-21,40
2017-01-22,32
2017-01-23,44
2017-01-24,39
2017-01-25,44
2017-01-26,48
2017-01-27,58
2017-01-28,58
2017-01-29,48
2017-01-30,36
2017-01-31,31
2017-02-01,28
2017-02-02,34
2017-02-03,29
2017-02-04,43
2017-02-05,35
2017-02-06,49
2017-02-07,50
2017-02-08,36
2017-02-09,39
2017-02-10,52
2017-02-11,54
2017-02-12,33
2017-02-13,64
2017-02-14,70
2017-02-15,66
2017-02-16,67
2017-02-17,59
2017-02-18,70
2017-02-19,60
2017-02-20,53
2017-02-21,59
2017-02-22,68
2017-02-23,68
2017-02-24,66
2017-02-25,70
2017-02-26,70
2017-02-27,67
2017-02-28,44
2017-03-01,60
2017-03-02,67
2017-03-03,68
2017-03-04,68
2017-03-05,69
2017-03-06,60
2017-03-07,68
2017-03-08,67
2017-03-09,66
2017-03-10,69
2017-03-11,69
2017-03-12,64
2017-03-13,69
2017-03-14,69
2017-03-15,69
2017-03-16,69
2017-03-17,69
2017-03-18,59
2017-03-19,64
2017-03-20,70
2017-03-21,70
2017-03-22,69
2017-03-23,66
2017-03-24,66
2017-03-25,69
2017-03-26,47
2017-03-27,56
2017-03-28,66
2017-03-29,65
2017-03-30,65
2017-03-31,67
2017-04-01,65
2017-04-02,59
2017-04-03,61
2017-04-04,51
2017-04-05,68
2017-04-06,68
2017-04-07,60
2017-04-08,70
2017-04-09,66
2017-04-10,64
2017-04-11,68
2017-04-12,68
2017-04-13,69
2017-04-14,69
2017-04-15,67
2017-04-16,59
2017-04-17,59
2017-04-18,59
2017-04-19,56
2017-04-20,61
2017-04-21,58
2017-04-22,67
2017-04-23,67
2017-04-24,60
2017-04-25,70
2017-04-26,70
2017-04-27,66
2017-04-28,70
2017-04-29,70
2017-04-30,70
2017-05-01,69
2017-05-02,59
2017-05-03,67
2017-05-04,69
2017-05-05,70
2017-05-06,63
2017-05-07,54
2017-05-08,67
2017-05-09,70
2017-05-10,68
2017-05-11,68
2017-05-12,68
2017-05-13,68
2017-05-14,68
2017-05-15,64
2017-05-16,68
2017-05-17,69
2017-05-18,69
2017-05-19,69
2017-05-20,65
2017-05-21,68
2017-05-22,70
2017-05-23,69
2017-05-24,69
2017-05-25,70
2017-05-26,69
2017-05-27,66
2017-05-28,69
2017-05-29,70
2017-05-30,69
2017-05-31,69
2017-06-01,64
2017-06-02,64
2017-06-03,61
2017-06-04,64
2017-06-05,66
2017-06-06,70
2017-06-07,69
2017-06-08,68
2017-06-09,67
2017-06-10,67
2017-06-11,68
2017-06-12,65
2017-06-13,69
2017-06-14,69
2017-06-15,68
2017-06-16,69
2017-06-17,70
2017-06-18,64
2017-06-19,69
2017-06-20,67
2017-06-21,70
2017-06-22,70
2017-06-23,70
2017-06-24,69
2017-06-25,70
2017-06-26,68
2017-06-27,68
2017-06-28,66
2017-06-29,67
2017-06-30,68
2017-07-01,69
2017-07-02,68
2017-07-03,65
2017-07-04,68
2017-07-05,69
2017-07-06,70
2017-07-07,70
2017-07-08,70
2017-07-09,69
2017-07-10,69
2017-07-11,67
2017-07-12,69
2017-07-13,69
2017-07-14,69
2017-07-15,67
2017-07-16,65
2017-07-17,70
2017-07-18,70
2017-07-19,69
2017-07-20,69
2017-07-21,70
2017-07-22,69
2017-07-23,65
2017-07-24,70
2017-07-25,70
2017-07-26,70
2017-07-27,66
2017-07-28,67
2017-07-29,62
2017-07-30,67
2017-07-31,63
2017-08-01,66
2017-08-02,67
2017-08-03,62
2017-08-04,70
2017-08-05,70
2017-08-06,67
2017-08-07,68
2017-08-08,69
2017-08-09,69
2017-08-10,70
2017-08-11,68
2017-08-12,68
2017-08-13,66
2017-08-14,66
2017-08-15,68
2017-08-16,68
2017-08-17,69
2017-08-18,68
2017-08-19,69
2017-08-20,70
2017-08-21,67
2017-08-22,67
2017-08-23,66
2017-08-24,65
2017-08-25,66
2017-08-26,66
2017-08-27,64
2017-08-28,66
2017-08-29,66
2017-08-30,65
2017-08-31,64
2017-09-01,55
2017-09-02,39
2017-09-03,25
2017-09-04,23
2017-09-05,14
2017-09-06,10
2017-09-07,3
2017-09-08,2
2017-09-09,2
2017-09-10,1
2017-09-11,1
2017-09-12,1
2017-09-13,1
2017-09-14,0
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
