Hotel,Is_Canceled,Lead_Time,Arrival_Year,Arrival_Month,Arrival_Week_Number,Arrival_Day,Weekend_Nights,Week_Nights,Reserved_Room_Type,Assigned_Room_Type,Reservation_Status,Reservation_Status_Date
Resort Hotel,0,0,2015,July,29,13,1,1,L,H,Check-Out,15/07/2015
Resort Hotel,1,0,2015,July,29,17,0,1,L,C,Canceled,17/07/2015
Resort Hotel,0,0,2015,August,32,5,0,1,L,F,Check-Out,06/08/2015
Resort Hotel,1,0,2015,July,29,17,0,1,L,L,Canceled,17/07/2015
Resort Hotel,0,0,2015,July,28,9,0,1,L,A,Check-Out,10/07/2015
Resort Hotel,0,0,2015,August,32,4,0,1,L,B,Check-Out,05/08/2015
