Date,Occupied
2016-06-19,76
2016-06-20,84
2016-06-21,84
2016-06-22,93
2016-06-23,94
2016-06-24,96
2016-06-25,89
2016-06-26,85
2016-06-27,81
2016-06-28,81
2016-06-29,81
2016-06-30,80
2016-07-01,80
2016-07-02,88
2016-07-03,77
2016-07-04,82
2016-07-05,78
2016-07-06,81
2016-07-07,82
2016-07-08,81
2016-07-09,82
2016-07-10,79
2016-07-11,78
2016-07-12,86
2016-07-13,81
2016-07-14,76
2016-07-15,81
2016-07-16,80
2016-07-17,74
2016-07-18,78
2016-07-19,77
2016-07-20,78
2016-07-21,77
2016-07-22,79
2016-07-23,79
2016-07-24,76
2016-07-25,78
2016-07-26,82
2016-07-27,78
2016-07-28,75
2016-07-29,77
2016-07-30,80
2016-07-31,75
2016-08-01,76
2016-08-02,76
2016-08-03,78
2016-08-04,77
2016-08-05,76
2016-08-06,73
2016-08-07,71
2016-08-08,75
2016-08-09,76
2016-08-10,76
2016-08-11,75
2016-08-12,74
2016-08-13,75
2016-08-14,74
2016-08-15,72
2016-08-16,71
2016-08-17,71
2016-08-18,72
2016-08-19,75
2016-08-20,73
2016-08-21,71
2016-08-22,69
2016-08-23,74
2016-08-24,73
2016-08-25,77
2016-08-26,80
2016-08-27,77
2016-08-28,68
2016-08-29,80
2016-08-30,85
2016-08-31,82
2016-09-01,82
2016-09-02,80
2016-09-03,85
2016-09-04,82
2016-09-05,81
2016-09-06,79
2016-09-07,79
2016-09-08,81
2016-09-09,80
2016-09-10,79
2016-09-11,81
2016-09-12,84
2016-09-13,88
2016-09-14,91
2016-09-15,116
2016-09-16,117
2016-09-17,109
2016-09-18,84
2016-09-19,80
2016-09-20,82
2016-09-21,86
2016-09-22,87
2016-09-23,84
2016-09-24,87
2016-09-25,66
2016-09-26,94
2016-09-27,93
2016-09-28,94
2016-09-29,90
2016-09-30,90
2016-10-01,87
2016-10-02,94
2016-10-03,94
2016-10-04,103
2016-10-05,96
2016-10-06,102
2016-10-07,106
2016-10-08,109
2016-10-09,97
2016-10-10,84
2016-10-11,86
2016-10-12,115
2016-10-13,121
2016-10-14,122
2016-10-15,120
2016-10-16,109
2016-10-17,74
2016-10-18,96
2016-10-19,88
2016-10-20,105
2016-10-21,89
2016-10-22,91
2016-10-23,92
2016-10-24,73
2016-10-25,86
2016-10-26,97
2016-10-27,76
2016-10-28,81
2016-10-29,96
2016-10-30,90
2016-10-31,94
2016-11-01,88
2016-11-02,87
2016-11-03,105
2016-11-04,94
2016-11-05,100
2016-11-06,85
2016-11-07,84
2016-11-08,86
2016-11-09,91
2016-11-10,92
2016-11-11,93
2016-11-12,88
2016-11-13,83
2016-11-14,93
2016-11-15,101
2016-11-16,92
2016-11-17,96
2016-11-18,111
2016-11-19,118
2016-11-20,99
2016-11-21,70
2016-11-22,75
2016-11-23,73
2016-11-24,75
2016-11-25,64
2016-11-26,68
2016-11-27,45
2016-11-28,50
2016-11-29,53
2016-11-30,34
2016-12-01,46
2016-12-02,60
2016-12-03,75
2016-12-04,36
2016-12-05,71
2016-12-06,79
2016-12-07,77
2016-12-08,75
2016-12-09,69
2016-12-10,80
2016-12-11,31
2016-12-12,50
2016-12-13,55
2016-12-14,67
2016-12-15,50
2016-12-16,51
2016-12-17,62
2016-12-18,36
2016-12-19,47
2016-12-20,48
2016-12-21,50
2016-12-22,51
2016-12-23,59
2016-12-24,76
2016-12-25,84
2016-12-26,75
2016-12-27,81
2016-12-28,75
2016-12-29,53
2016-12-30,87
2016-12-31,80
2017-01-01,54
2017-01-02,55
2017-01-03,54
2017-01-04,57
2017-01-05,55
2017-01-06,63
2017-01-07,61
2017-01-08,46
2017-01-09,51
2017-01-10,69
2017-01-11,62
2017-01-12,65
2017-01-13,43
2017-01-14,73
2017-01-15,35
2017-01-16,130
2017-01-17,126
2017-01-18,124
2017-01-19,45
2017-01-20,38
2017-01-21,60
2017-01-22,45
2017-01-23,61
2017-01-24,68
2017-01-25,76
2017-01-26,82
2017-01-27,94
2017-01-28,97
2017-01-29,72
2017-01-30,63
2017-01-31,66
2017-02-01,60
2017-02-02,55
2017-02-03,59
2017-02-04,74
2017-02-05,46
2017-02-06,75
2017-02-07,78
2017-02-08,62
2017-02-09,66
2017-02-10,74
2017-02-11,76
2017-02-12,41
2017-02-13,87
2017-02-14,104
2017-02-15,99
2017-02-16,94
2017-02-17,86
2017-02-18,94
2017-02-19,83
2017-02-20,76
