Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
09/02/2016,43.0,58
09/02/2017,21.0,35
09/03/2015,2.0,2
09/03/2016,26.0,40
09/03/2017,24.0,31
09/04/2016,28.0,44
09/04/2017,35.0,51
09/05/2015,3.0,3
09/05/2016,16.0,24
09/05/2017,14.0,21
09/06/2015,27.0,27
09/06/2016,20.0,24
09/06/2017,25.0,29
09/07/2015,12.0,13
09/07/2016,17.0,18
09/07/2017,31.0,34
09/08/2015,16.0,19
09/08/2016,12.0,13
09/08/2017,18.0,19
09/09/2015,23.0,25
09/09/2016,19.0,22
09/10/2015,21.0,42
09/10/2016,48.0,69
09/11/2015,37.0,45
09/11/2016,14.0,26
09/12/2015,3.0,7
09/12/2016,6.0,19
10/01/2016,3.0,13
10/01/2017,25.0,31
10/02/2015,1.0,1
10/02/2016,18.0,25
10/02/2017,27.0,41
10/03/2016,21.0,32
10/03/2017,27.0,32
10/04/2015,3.0,4
10/04/2016,35.0,48
10/04/2017,25.0,31
10/05/2016,24.0,41
10/05/2017,20.0,28
10/06/2016,20.0,24
10/06/2017,21.0,26
10/07/2015,13.0,19
10/07/2016,10.0,12
10/07/2017,19.0,21
10/08/2015,24.0,32
10/08/2016,10.0,14
10/08/2017,15.0,17
10/09/2015,14.0,18
10/09/2016,15.0,21
10/09/2017,1.0,1
10/10/2015,62.0,68
10/10/2016,41.0,51
10/11/2015,8.0,17
10/11/2016,14.0,26
10/12/2015,75.0,81
10/12/2016,4.0,12
11/01/2016,8.0,16
11/01/2017,27.0,40
11/02/2015,3.0,3
11/02/2016,19.0,37
11/02/2017,16.0,27
11/03/2015,1.0,1
11/03/2016,24.0,36
11/03/2017,12.0,18
11/04/2015,2.0,2
11/04/2016,13.0,20
11/04/2017,16.0,19
11/05/2015,2.0,2
11/05/2016,21.0,27
11/05/2017,11.0,20
11/06/2015,7.0,7
11/06/2016,22.0,25
11/06/2017,25.0,28
11/07/2015,17.0,19
11/07/2016,19.0,23
11/07/2017,18.0,19
11/08/2015,14.0,23
11/08/2016,28.0,30
11/08/2017,11.0,12
11/09/2015,18.0,23
11/09/2016,15.0,20
11/10/2015,31.0,48
11/10/2016,48.0,56
11/11/2015,5.0,12
11/11/2016,18.0,25
11/12/2015,42.0,50
11/12/2016,42.0,61
12/01/2016,16.0,23
12/01/2017,29.0,39
12/02/2015,1.0,1
12/02/2016,28.0,42
12/02/2017,33.0,48
12/03/2015,1.0,1
12/03/2016,32.0,61
12/03/2017,32.0,38
12/04/2016,29.0,35
12/04/2017,14.0,17
12/05/2015,7.0,7
12/05/2016,41.0,59
12/05/2017,16.0,24
12/06/2015,2.0,2
12/06/2016,28.0,31
12/06/2017,28.0,35
12/07/2015,21.0,23
12/07/2016,11.0,14
12/07/2017,16.0,21
12/08/2015,33.0,37
12/08/2016,14.0,20
12/08/2017,12.0,13
12/09/2015,23.0,31
12/09/2016,23.0,24
12/10/2015,37.0,58
12/10/2016,55.0,60
12/11/2015,3.0,6
12/11/2016,28.0,36
12/12/2015,5.0,12
12/12/2016,7.0,14
13/01/2016,15.0,32
13/01/2017,30.0,46
13/02/2016,8.0,18
13/02/2017,16.0,20
13/03/2016,39.0,60
13/03/2017,20.0,25
13/04/2016,44.0,49
13/04/2017,24.0,34
13/05/2015,8.0,8
13/05/2016,11.0,15
13/05/2017,15.0,18
13/06/2015,2.0,2
13/06/2016,17.0,21
13/06/2017,11.0,14
13/07/2015,20.0,21
13/07/2016,18.0,25
13/07/2017,22.0,26
13/08/2015,13.0,16
13/08/2016,15.0,16
13/08/2017,20.0,20
13/09/2015,7.0,17
13/09/2016,17.0,20
13/10/2015,26.0,30
13/10/2016,10.0,16
13/11/2015,3.0,14
13/11/2016,19.0,32
13/12/2015,9.0,22
13/12/2016,43.0,52
14/01/2016,5.0,15
14/01/2017,13.0,25
14/02/2016,46.0,72
14/02/2017,23.0,28
14/03/2016,10.0,18
14/03/2017,12.0,19
14/04/2015,1.0,1
14/04/2016,19.0,32
14/04/2017,16.0,21
14/05/2015,4.0,4
14/05/2016,21.0,44
14/05/2017,14.0,19
14/06/2015,1.0,1
14/06/2016,16.0,18
14/06/2017,15.0,20
14/07/2015,18.0,21
14/07/2016,16.0,20
14/07/2017,15.0,19
14/08/2015,38.0,42
14/08/2016,13.0,14
14/08/2017,23.0,26
14/09/2015,16.0,20
14/09/2016,34.0,42
14/09/2017,1.0,1
14/10/2015,38.0,41
14/10/2016,4.0,9
14/11/2015,9.0,17
14/11/2016,18.0,27
14/12/2015,2.0,6
14/12/2016,18.0,33
15/01/2016,10.0,39
15/01/2017,34.0,57
15/02/2016,18.0,30
15/02/2017,15.0,28
15/03/2016,12.0,25
15/03/2017,20.0,26
15/04/2015,5.0,8
